sensor,split,attack,readings,outside_pct
P1_B2016,test,0,42572,1.01
P1_B2016,test,1,629,0.0
P1_B2016,train,0,216001,2.0
P1_FT01,test,0,42572,2.45
P1_FT01,test,1,629,47.69
P1_FT01,train,0,216001,1.98
P1_LIT01,test,0,42572,0.02
P1_LIT01,test,1,629,23.21
P1_LIT01,train,0,216001,1.97
P2_CO_rpm,test,0,42572,3.82
P2_CO_rpm,test,1,629,25.12
P2_CO_rpm,train,0,216001,1.79
P2_SIT01,test,0,42572,25.99
P2_SIT01,test,1,629,39.27
P2_SIT01,train,0,216001,1.57
P3_PIT01,test,0,42572,16.29
P3_PIT01,test,1,629,28.46
P3_PIT01,train,0,216001,1.51
P4_ST_PT01,test,0,42572,0.51
P4_ST_PT01,test,1,629,51.03
P4_ST_PT01,train,0,216001,1.45
P4_ST_TT01,test,0,42572,1.03
P4_ST_TT01,test,1,629,0.0
P4_ST_TT01,train,0,216001,1.08
