time,attack,max_abs_z,leading_sensor
2020-07-07 21:04:02,1,50.1,P2_CO_rpm
2020-07-07 21:04:23,1,49.87,P2_CO_rpm
2020-07-07 21:03:49,1,49.77,P2_CO_rpm
2020-07-07 21:03:48,1,49.77,P2_CO_rpm
2020-07-07 21:04:14,1,49.77,P2_CO_rpm
2020-07-07 21:04:28,1,49.73,P2_CO_rpm
2020-07-07 21:04:08,1,49.68,P2_CO_rpm
2020-07-07 21:03:44,1,49.68,P2_CO_rpm
2020-07-07 21:04:00,1,49.63,P2_CO_rpm
2020-07-07 21:04:15,1,49.63,P2_CO_rpm
2020-07-07 21:04:05,1,49.63,P2_CO_rpm
2020-07-07 21:04:19,1,49.63,P2_CO_rpm
2020-07-07 21:04:18,1,49.49,P2_CO_rpm
2020-07-07 21:03:45,1,49.44,P2_CO_rpm
2020-07-07 21:03:52,1,49.39,P2_CO_rpm
2020-07-07 21:04:09,1,49.39,P2_CO_rpm
2020-07-07 21:04:17,1,49.39,P2_CO_rpm
2020-07-07 21:04:03,1,49.39,P2_CO_rpm
2020-07-07 21:04:26,1,49.35,P2_CO_rpm
2020-07-07 21:04:10,1,49.3,P2_CO_rpm
2020-07-07 21:03:42,1,49.3,P2_CO_rpm
2020-07-07 21:04:13,1,49.3,P2_CO_rpm
2020-07-07 21:04:11,1,49.3,P2_CO_rpm
2020-07-07 21:04:12,1,49.3,P2_CO_rpm
2020-07-07 21:04:24,1,49.25,P2_CO_rpm
2020-07-07 21:04:16,1,49.25,P2_CO_rpm
2020-07-07 21:04:20,1,49.25,P2_CO_rpm
2020-07-07 21:03:53,1,49.02,P2_CO_rpm
2020-07-07 21:04:22,1,48.97,P2_CO_rpm
2020-07-07 21:04:27,1,48.97,P2_CO_rpm
